explainer,model,nodes_evaluated,deletion_drop_mean,deletion_drop_std,deletion_label_flip_rate,insertion_prob_mean,insertion_prob_std,insertion_gap_mean,insertion_gap_std,insertion_preservation_rate,sparsity_edges_mean,num_explanation_edges_mean,num_explanation_nodes_mean
DGL_SubgraphX,graphsage,7,-0.009080001286097936,0.019082348210651356,0.0,0.8010332456656865,0.22994183236451418,0.045454753296715875,0.10783065064425208,0.8571428571428571,0.9999765961430443,0.8571428571428571,1.4285714285714286
DGL_SubgraphX_large,graphsage,7,0.0018190315791538783,0.025178685498765802,0.0,0.7986793645790645,0.24600746006793184,0.047808634383337836,0.14589823980519423,0.8571428571428571,0.9999570929289147,1.5714285714285714,2.4285714285714284
GNNExplainer,graphsage,7,0.12405562400817871,0.22565238226038065,0.2857142857142857,0.8455122624124799,0.13405499777993157,0.0009757365499223981,0.0025815562562108256,1.0,0.9994539100043687,20.0,27.857142857142858
PGExplainer,graphsage,7,0.12659943955285208,0.22387389873854535,0.2857142857142857,0.8462504403931754,0.1346258553221805,0.00023755856922694614,0.0006285208959868211,1.0,0.9994539100043687,20.0,27.857142857142858
