model,explainer,nodes_evaluated,deletion_drop_mean,deletion_drop_std,deletion_label_flip_rate,insertion_prob_mean,insertion_prob_std,insertion_gap_mean,insertion_gap_std,insertion_preservation_rate,sparsity_edges_mean,num_explanation_edges_mean,num_explanation_nodes_mean
gcn,GNNExplainer,6,0.6721741785295308,0.08895258885539736,1.0,0.8224104543526968,0.11980588508936453,-0.001229931910832723,0.003012734800194008,1.0,0.9994539100043687,20.0,34.333333333333336
gcn,PGExplainer,6,0.6721741785295308,0.08895258885539736,1.0,0.8224104543526968,0.11980588508936453,-0.001229931910832723,0.003012734800194008,1.0,0.9994539100043687,20.0,34.333333333333336
gcn,DGL_SubgraphX,6,0.2961576047043006,0.23137801484829768,0.3333333333333333,0.6432197250736257,0.4070095686935528,0.17796079736823836,0.3739020775274803,0.6666666666666666,0.9999499417504004,1.8333333333333333,2.8333333333333335
graphsage,GNNExplainer,7,0.12405562400817871,0.22565238226038065,0.2857142857142857,0.8455122624124799,0.13405499777993157,0.0009757365499223981,0.0025815562562108256,1.0,0.9994539100043687,20.0,27.857142857142858
graphsage,PGExplainer,7,0.12659943955285208,0.22387389873854535,0.2857142857142857,0.8462504403931754,0.1346258553221805,0.00023755856922694614,0.0006285208959868211,1.0,0.9994539100043687,20.0,27.857142857142858
graphsage,DGL_SubgraphX,7,-0.009080001286097936,0.019082348210651356,0.0,0.8010332456656865,0.22994183236451418,0.045454753296715875,0.10783065064425208,0.8571428571428571,0.9999765961430443,0.8571428571428571,1.4285714285714286
gatv2,GNNExplainer,10,0.18919958961196243,0.3479557789193124,0.2,0.9321179568767548,0.059849784363838206,-6.020069122314453e-06,1.903713009816446e-05,1.0,0.9994539100043687,20.0,29.9
gatv2,PGExplainer,10,0.1892076123971492,0.34795092829784885,0.2,0.9321259915828705,0.059857974329607065,-1.405477523803711e-05,4.444510175393246e-05,1.0,0.9994539100043687,20.0,29.9
gatv2,DGL_SubgraphX,10,0.17767784968018532,0.30501339085422263,0.3,0.9415855467319488,0.04358536763949444,-0.009473609924316406,0.024009505792898497,1.0,0.9999590432503277,1.5,2.3
