dataset,task,model,runs,train_samples,val_samples,test_samples,test_f1_mean,test_f1_std,precision_mean,precision_std,recall_mean,recall_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
SAML-D,account_node_classification,GATv2,5,556049,128319,171092,0.014640474425500372,0.008184274009566502,0.00738783812217988,0.0041299270619896515,0.8,0.4472135954999579,0.009971161908139448,0.0008351666186118055,0.49757967062262426,0.012848610805862514
SAML-D,account_node_classification,GCN,5,556049,128319,171092,0.13722168972313348,0.07666125788682576,0.07752324554932905,0.04578226345372107,0.8269620253164558,0.11269520087364822,0.1287512009443216,0.003237703847626967,0.927068760226676,0.008230937568807528
SAML-D,account_node_classification,GraphSAGE,5,556049,128319,171092,0.34308045135094173,0.0005028962758628235,0.23307440866133172,0.00031625893428203377,0.649746835443038,0.0011497406407965287,0.1263068273780405,0.0028241371715951114,0.8394209192314379,0.02407929343969063
