dataset,feature_setting,model,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_micro_mean,f1_micro_std,paper_f1,f1_difference_vs_paper,f1_mean_std
Elliptic,tx+agg,GCN,5,0.8026,0.013794926603646685,0.4896,0.016964669168598602,0.608,0.011853269591129693,0.9376,0.001673320053068088,0.616,-0.008000000000000007,0.6080 ± 0.0119
Elliptic,tx+agg,GAT,5,0.8206,0.008142481194328885,0.7234,0.019705329228409244,0.769,0.011532562594670804,0.9571999999999999,0.002167948338867877,0.766,0.0030000000000000027,0.7690 ± 0.0115
Elliptic,tx+agg,GraphSAGE,5,0.9448000000000001,0.00501996015920445,0.817,0.016155494421403457,0.8762000000000001,0.007529940238806685,0.9773999999999999,0.0016733200530681656,0.889,-0.012799999999999923,0.8762 ± 0.0075
Elliptic,tx+agg,ChebNet,5,0.954,0.004898979485566369,0.8474,0.010784247771634328,0.8974,0.005319774431308204,0.9805999999999999,0.0015165750888103372,0.91,-0.012600000000000056,0.8974 ± 0.0053
Elliptic,tx+agg,GATv2,5,0.8917999999999999,0.015270887335056885,0.8472,0.012872451204024834,0.8688,0.004764451699828639,0.9746,0.0011401754250991566,0.881,-0.012199999999999989,0.8688 ± 0.0048
