dataset,task,model,runs,train_samples,val_samples,test_samples,test_f1_mean,test_f1_std,precision_mean,precision_std,recall_mean,recall_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
IBM HI-Small,account_node_classification,GATv2,5,334802,77262,103016,0.05520829076435876,0.007254300491771173,0.028839128433783688,0.0038795706020968647,0.6616837136113297,0.1129039111545992,0.054287612846700875,0.026969755896244927,0.7848004663237056,0.03612070228915556
IBM HI-Small,account_node_classification,GCN,5,334802,77262,103016,0.053663398148862965,0.003946045435415266,0.02793991908589024,0.0021470309826181564,0.6808811959087333,0.011544535521337315,0.052199410436244445,0.012976963215173918,0.7796281844828977,0.025122711563046386
IBM HI-Small,account_node_classification,GraphSAGE,5,334802,77262,103016,0.08679251254148872,0.003255816183793137,0.045747265478549425,0.0018126856888127498,0.8454760031471282,0.005295458275519707,0.10418437705631625,0.01329125814767729,0.893010654867217,0.006238307933459148
