dataset,feature_setting,model,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_micro_mean,f1_micro_std,paper_f1,f1_difference_vs_paper,f1_mean_std
Elliptic,tx+agg,GCN,3,0.8066666666666666,0.01418919776919511,0.48333333333333334,0.014011899704655821,0.6046666666666667,0.01011599393699572,0.9376666666666665,0.0015275252316518631,0.616,-0.011333333333333306,0.6047 ± 0.0101
Elliptic,tx+agg,GAT,3,0.8223333333333332,0.0087368949480541,0.7236666666666666,0.017616280348965115,0.77,0.01216552506059645,0.9576666666666666,0.0025166114784236004,0.766,0.0040000000000000036,0.7700 ± 0.0122
Elliptic,tx+agg,GraphSAGE,3,0.9416666666666665,0.0015275252316519117,0.818,0.018999999999999965,0.875,0.010583005244258372,0.9773333333333333,0.002309401076758497,0.889,-0.014000000000000012,0.8750 ± 0.0106
Elliptic,tx+agg,ChebNet,3,0.956,0.0036055512754640156,0.8476666666666667,0.01171893055416465,0.8983333333333334,0.00750555349946519,0.981,0.001732050807568911,0.91,-0.011666666666666603,0.8983 ± 0.0075
Elliptic,tx+agg,GATv2,3,0.902,0.02251666049839545,0.8583333333333334,0.015947831618540916,0.8793333333333333,0.00776745346515405,0.977,0.0017320508075688629,0.881,-0.0016666666666667052,0.8793 ± 0.0078
