dataset,task,model,runs,train_samples,val_samples,test_samples,best_threshold_mean,best_threshold_std,test_f1_mean,test_f1_std,test_f1_at_0_5_mean,test_f1_at_0_5_std,precision_mean,precision_std,recall_mean,recall_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
SAML-D,account_node_classification,GATv2,5,556049,128319,171092,0.4046454608440399,0.009413679909633389,0.32828564352854417,0.01667621745339639,0.0,0.0,0.3397583118303935,0.05940775301375548,0.32772151898734175,0.045323703543158636,0.1070691283289468,0.013422531060050431,0.646932023706473,0.029091733951921703
SAML-D,account_node_classification,GCN,5,556049,128319,171092,0.6484042406082153,0.08095745278937398,0.3929573197537203,0.0005721717681280942,0.018300593031875464,0.0,0.2607937686752959,0.00034937503238040616,0.7967088607594937,0.001443260031771069,0.1691673564883023,0.0015263527341561227,0.8661009847478779,0.02078843676700969
SAML-D,account_node_classification,GraphSAGE,5,556049,128319,171092,0.39252397418022156,0.042455743072212324,0.36304115181724683,0.0018975923894157679,0.3401538471424163,0.002071553356222638,0.24414479922952753,0.0007539845690742879,0.7077215189873418,0.009154270750260537,0.13677492074336348,0.0020609719255546056,0.8654781346274131,0.0033539562390615518
